,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergent,Deli,x_kpca_poly,y_kpca_poly,x_kpca_rbf,y_kpca_rbf,x_kpca_cos,y_kpca_cos,cluster_kpca_cos
0,Retail,Other,12669,9656,7561,214,2674,1338,-0.2981455011525593,-0.3076719812826466,0.07837370589555083,-0.1731146036428405,0.5047893015158404,0.009622306647377258,3
1,Retail,Other,7057,9810,9568,1762,3293,1776,-0.2726130325059708,-0.2487624245861095,0.1858125464129074,-0.3074147140645969,0.8899412223120089,-0.2628329463279437,1
2,Retail,Other,6353,8808,7684,2405,3516,7844,0.5578704880415538,-0.35610235773029586,0.3417015381326229,0.07504775170557561,0.4739940541267174,0.23568683324586606,1
3,HotelRestCafe,Other,13265,1196,4221,6404,507,1788,-0.26341881268838985,-0.4540227081713493,-0.25330352365834485,0.2503524263190761,-0.6186114271241637,0.370130544280282,0
4,Retail,Other,22615,5410,7198,3915,1777,5185,0.12692164269260334,-0.4327330336684856,0.13661671368898695,0.3752792354602761,0.06889953794312549,0.8618293827365124,2
5,Retail,Other,9413,8259,5126,666,1795,1451,-0.3070092865660383,-0.3932274030478145,-0.08895330433843496,-0.2122647116921356,0.10295629527946548,-0.33045648010926604,3
6,Retail,Other,12126,3199,6975,480,3140,545,-0.3038115127691908,-0.4076338926810737,-0.14353041259380858,-0.16630589319905692,-0.09216796241777606,-0.2898919276536125,4
7,Retail,Other,7579,4956,9426,1669,3321,2566,-0.270860987143592,-0.34459349932142885,0.04089698583784365,-0.26271559872797,0.5540934639173402,-0.34755086203661434,3
8,HotelRestCafe,Other,5963,3648,6192,425,1716,750,-0.30859048668280475,-0.4317355409418063,-0.2204840295429032,-0.3051577883697473,-0.1557890142344765,-0.6896927304727346,4
9,Retail,Other,6006,11093,18881,1159,7425,2098,-0.21822231916402274,0.3978422871901089,0.7089688368462714,-0.2911925018216327,1.1648509491774437,0.023746724906468297,1
10,Retail,Other,3366,5403,12974,4400,5977,1744,-0.2675957779472277,-0.15746193071258455,0.3197406409241956,-0.30652457804762395,0.8649020932926698,-0.1928630625234255,1
11,Retail,Other,13146,1124,4523,1420,549,497,-0.3050299690350555,-0.4462527274769139,-0.35545182556925065,0.013874803248532032,-0.6524416952788552,-0.1063867317186097,0
12,Retail,Other,31714,12319,11757,287,3881,2931,-0.10356968462704516,-0.02732043685670088,0.3854465445073937,0.3357288366807353,0.5189256754099238,0.8891844129165525,2
13,Retail,Other,21217,6208,14982,3095,6707,602,-0.27641845841890217,0.003073681390053584,0.3895006007283213,0.0593738132753489,0.7459587900333248,0.6652437528164219,1
14,Retail,Other,24653,9465,12091,294,5058,2168,-0.22432587265085646,-0.06168660986763175,0.3555111665729337,0.14421778495165338,0.6716997036238871,0.7605400813714226,1
15,HotelRestCafe,Other,10253,1114,3821,397,964,412,-0.2905459314605997,-0.44540465238162175,-0.3543552000608616,-0.11021859390248852,-0.5245171920456185,-0.34778855844424866,4
16,Retail,Other,1020,8816,12121,134,4508,1080,-0.3033882248047767,-0.16269507062885644,0.3226356449874304,-0.4722189977111656,0.8519358136546644,-0.5460352667323775,3
17,HotelRestCafe,Other,5876,6157,2933,839,370,4478,-0.14709758484420438,-0.4520707831306727,-0.07000249896230781,-0.09035047264311986,-0.03322029329664674,-0.11493113644620095,4
18,Retail,Other,18601,6327,10099,2205,2767,3181,-0.17402286197948935,-0.32256701657614056,0.11654191916216305,0.11785312476009385,0.3876603752214002,0.8429922154646661,2
19,HotelRestCafe,Other,7780,2495,9464,669,2518,501,-0.30105435591948604,-0.4025706428601992,-0.12022755406904667,-0.2835482007710929,0.04476543644367425,-0.5527699503922405,4
20,Retail,Other,17546,4519,4602,1066,2259,2124,-0.2916872427258557,-0.4258445092555895,-0.14690021076745444,0.09957113896938716,-0.3075208902858992,0.4431883052888919,0
21,HotelRestCafe,Other,5567,871,2010,3383,375,569,-0.3099452492021488,-0.4229278704853108,-0.3995107138663482,-0.09264082017742033,-0.6188073618880083,-0.3876127760478736,4
22,HotelRestCafe,Other,31276,1917,4469,9408,2381,4334,0.1991556384279402,-0.5010290581069264,0.204359987732002,0.6356359259636718,-0.15600433489142174,1.005037085312468,2
23,Retail,Other,26373,36423,22019,5154,4337,16523,6.815609911752716,1.693438626193842,0.39026615726915065,0.2569496025734202,0.7065213342862835,0.625031246523566,1
24,Retail,Other,22647,9776,13792,2915,4482,5778,0.3267597144260011,-0.06446410136472426,0.4278165407333473,0.22478368660722747,0.6516647402081206,0.8093177360160556,2
25,Retail,Other,16165,4230,7595,201,4003,57,-0.2898847683084984,-0.3676126454694692,-0.031635128734054815,-0.07255095160998608,0.11452974129428202,0.06812692646640442,3
26,HotelRestCafe,Other,9898,961,2861,3151,242,833,-0.31483779602775896,-0.4324686011330272,-0.4001406036273939,0.0085354146973488,-0.7423357127810759,-0.17657511608256202,0
